原文	訂正	個別評価	評価
”カレーの日”は正しいの名前ではありませんか。	”カレーの日”は正しいの名前ではありませんか。	"2,2,2"	2.0
しかし、古いのは新しいのより不安なてす。	しかし、古いのは新しいより不安なです。	"2,1,2"	1.6666666666666667
スパでえびサンドをかいたら、いつもマヨネーズが入りました。	スパでえびサンドをかいたら、いつもマヨネーズが入りました。	"4,4,4"	4.0
それはアルバイトの経験が積めるし、日本へ遊びに行けるから、とてもいいですね。	それはアルバイトの経験がぎこちなくし、日本へ遊びに行けるから、とてもいいですね。	"1,1,1"	1.0
「質問をきく」とはいいません。」　これで自分の日本語にとても悔しい間違えに気づいた！	「質問をきく」とはいえません。」これで自分の日本語にとても悔しい間違えに気づいた！	"3,3,3"	3.0
出かけには何をしようかいいかわからなかった。	出かけには何をすればいいかわからなかった。	"4,4,3"	3.6666666666666665
その飼い主は犬を見捨てたとき、悲しくなかったか。	その飼い主は犬を見捨てたとき、悲しくなかったか。	"4,4,4"	4.0
もしかしたら、この夢が実見することができます。	もしかしたら、この夢を実現することができます。	"3,4,4"	3.6666666666666665
面白い日本の血のテスト	面白い日本の血液のテスト	"2,3,3"	2.6666666666666665
朝ごはん	朝ごはん	"2,3,3"	2.6666666666666665
時間はもう午後になりました。	時間はもう午後になりました。	"4,4,4"	4.0
夏の空は暗くなるのが遅いが、暗くなれば一瞬だけで真っ暗になる。	夏の空は暗くなるのが遅いが、暗くなれば一瞬だけで真っ暗になる。	"2,3,3"	2.6666666666666665
日本語で書くのはまた慣れないからね。	日本語で書くのはまだ慣れないからね。	"4,4,4"	4.0
みつわマーケトというのはスーパーです。	みつわマーケトというのはスーパーです。	"4,4,3"	3.6666666666666665
千里の道も一歩からという言葉です。	千里の道も一歩からという言葉です。	"4,4,4"	4.0
夏の空は暗くなるのが遅いが、暗くなれば一瞬だけで真っ暗になる。	夏の空は暗くなるのは遅いが、暗くなれば一瞬だけで真っ暗になる。	"2,3,3"	2.6666666666666665
両方も理知を失っちゃたかな。	両方とも理知を失っちゃたかな。	"2,2,2"	2.0
昔、皆は地球が長方形だと思いましたからです。	昔、皆は地球が長方形だと思ったからです。	"4,4,4"	4.0
私はこれからどすれば良いだら、明日は何処にいるんだそれぞれを考えてしております。	私はこれからどうすれば良いなら、明日は何処にいることを考えています。	"3,3,2"	2.6666666666666665
そして夜に大学に通うために家族たちと多い時間を過ごすことができなかったから機会があれば家族たちと一緒に旅行を行って来たいです。	そして夜に大学に通うために家族たちと多くの時間を過ごすことができなかったから機会があれば家族たちと一緒に旅行に行って来たいです。	"3,4,4"	3.6666666666666665
いまの会社で給料が安いし、上昇の可能性がゼロし、毎日電話でしゃべてばかり	いまの会社は給料が安いし、上昇の可能性がゼロだし、毎日電話でしゃべってばかり	"3,3,3"	3.0
東京へ行ってもいいです！	東京へ行ってもいいです！	"4,4,4"	4.0
それが終わってカットしたいと思って美容院へ行ったけど予約を取ってなかったせいでせっかく歩いて行ったのに明日するようになった。	それが終わってカットしたいと思って美容院へ行ったけど予約を取ってなかったせいでせっかく歩いて行ったのに明日するようになった。	"4,4,4"	4.0
それは多分入学試験のせいだ。	それは多分入学試験のせいだ。	"4,4,4"	4.0
相手に意地悪ことを言ってしまいます。	相手に意地悪ことを言ってしまいます。	"2,2,3"	2.3333333333333335
なぜか、世界的に外国語の能力が基本になって	なぜか、世界的に外国語の能力が基本になって	"2,3,3"	2.6666666666666665
ですから、受けるの自信が余りありません。	ですから、受けるの自信が余りありません。	"2,2,3"	2.3333333333333335
驚くほど、最近他のアジアの国(例えば：台湾と韓国)に血液型の理論は人気が多くなった。	驚くほど、最近他のアジアの国(例えば：台湾と韓国)の血液型の理論は人気が多くなった。	"4,4,4"	4.0
私たちは資本主義世界に生きていますから、誰もがお金が欲しいと思います。	私たちは資本主義世界に生きていますから、誰もがお金が欲しいと思います。	"4,4,4"	4.0
他の人のために思ってなんです。	他の人のために考えているんです。	"4,4,4"	4.0
高校時代、大学受験、大学時代、就職、やる気の度合いを思い出し、その理由を考えてみてください。	高校時代、大学受験、大学時代、就職、やる気のなにかを思い出し、その理由を考えてみてください。	"1,1,1"	1.0
その犬は野良犬で、後の足がどっちも骨折りましたから、歩きにくかったです。	その犬は野良犬で、後の足がどれも埋まっましたから、歩きにくかったです。	"1,1,1"	1.0
えびサンドをつくたら、マヨネーズをいりません。	えびサンドをつくたら、マヨネーズをいりません。	"2,2,2"	2.0
知らず知らず店でいつも友達が集まって、賑やかです	知らず知らず店でいつも友達が集まって、賑やかです	"2,3,3"	2.6666666666666665
私のパリに対する感情	私のパリに対する感情	"2,3,3"	2.6666666666666665
まず2010の始まりでいろんな意味で人生の一大事はクマニ初日本上陸！	まず2010年の始まりでいろんな意味で人生の一大事はクマニ初日本來！	"1,2,1"	1.3333333333333333
飛行機の一時間半よりも長い２時間のバス旅の後、またタクシーで国際交流会館についたが、ほっとできなかった。	飛行機の一時間半よりも長い２時間のバス旅の後、またタクシーで国際交流会館についたが、ほっとできなかった。	"4,4,4"	4.0
昨日の朝は息子にそうじしろと願いましたが、彼の無精者 は何もしませんでした。	昨日の朝は息子にそうじしろと願いましたが、彼の無精者は何もしませんでした。	"2,2,2"	2.0
日本には、ケイタイが文化の一部に大事ようだ。	日本では、ケイタイが文化の一部に大事だ。	"4,4,3"	3.6666666666666665
これは今学期の第一目のコースですから、先生はフランス語の勉強についていろんな話をしました。	これは今学期の第一目のコースですから、先生はフランス語の勉強についていろんな話をしました。	"3,3,3"	3.0
先生は説明があるだけど、いちいち道理を言って、話はポイントがないで、つまらなくて、本当に眠い。	先生は説明があるけど、いちいち道理を言って、話はポイントがないで、つまらなくて、本当に眠い。	"3,3,4"	3.3333333333333335
昨日と今日。	昨日と今日は。	"3,3,3"	3.0
