原文	訂正	個別評価	評価
その時に人々がEdisonはむだなことをしていると思いました。	その時に人々がEdisonはむだなことをしていると思いました。	"4,3,4"	3.6666666666666665
正直に言うと私は歌音痴の上に、たくさんの人の前に大声で話すことさえできませんでした。	正直に言うと私は歌音痴の上に、たくさんの人の前に大声で話すことさえできませんでした。	"3,3,3"	3.0
カバンを持って行くのは学校へ行く時と旅行する時だと思う。	カバンを持って行くのは学校へ行く時と旅行する時です。	"4,4,4"	4.0
とても楽しすぎるだから。	とても楽しすぎるから。	"4,4,4"	4.0
先生は頷きながらそれを受け取った。	先生は頷きながらそれを受け取りました。	"4,4,4"	4.0
このアルバイトを本当に楽しみにします。	このアルバイトを本当に楽しみにします。	"3,3,2"	2.6666666666666665
その瞬間に、彼は本当に幅広く感情を引き起こせるということが気づいた。	その瞬間に、彼は本当に幅広く感情を担うということに気づいた。	"1,1,1"	1.0
マリア：これはフランスのワインですか。	マリア：これはフランスのワインか。	"3,2,3"	2.6666666666666665
と思っている自分が、時々変だと思う。	と思っている自分は、時々変だと思う。	"4,4,4"	4.0
そして、今この日記の半分をここにコピーします。	そして、今この日記の半分をここに載せます。	"4,3,4"	3.6666666666666665
皆さん、こんにちは！	皆さん、こんにちは！	"4,4,4"	4.0
私の中であなたはいつも笑っています。	私の中であなたはいつも笑っています。	"4,4,4"	4.0
また「たちばな」に行くようにする。	また「ねら」に行くようにする。	"2,1,1"	1.3333333333333333
西湖	西湖	"0,4,4"	4.0
そして、当地の親戚が飼ってきた家鴨と	そして、当地の親戚が飼ってきたタカラと	"2,1,1"	1.3333333333333333
ウエールズが大好ですけどきれいですね。	ウエールズは大好ですけどきれいですね。	"2,1,2"	1.6666666666666667
雄の猫の名前はプリン、雌の猫の名前はスイーティです。	雄の猫の名前はプリン、雌の猫の名前はスイーティです。	"4,4,4"	4.0
シネマ…	シネマ…	"0,3,4"	3.5
僕にとってそういう勉強する方法で、言葉を完璧に覚えるわけではないけれど、ANKIのおかげで言葉の意味の種を僕の頭に植えられる。	僕にとっては、そういう勉強方法で、言葉を完璧に覚えるわけではないけれど、ANKIのおかげで言葉の意味の種を僕の頭に植えられる。	"4,4,4"	4.0
